File Name,Probability,TP1,FP1,FN1,Precision1,Recall1,F1-score1,TP2,FP2,FN2,Precision2,Recall2,F1-score2,TP3,FP3,FN3,Precision3,Recall3,F1-score3
vcf4-2(0.5).txt,0.5,2006,457,1169,0.8144539179861957,0.6318110236220472,0.7115998581057111,1946,517,1169,0.7900933820544052,0.6247191011235955,0.6977411258515597,1946,457,1229,0.8098210570120683,0.6129133858267717,0.6977411258515597
vcf4-2(0.55).txt,0.55,1959,420,1216,0.8234552332912989,0.6170078740157481,0.7054375225063017,1904,475,1216,0.8003362757461118,0.6102564102564103,0.6924895435533733,1904,420,1271,0.8192771084337349,0.5996850393700788,0.6924895435533733
vcf4-2(0.6).txt,0.6,1959,420,1216,0.8234552332912989,0.6170078740157481,0.7054375225063017,1904,475,1216,0.8003362757461118,0.6102564102564103,0.6924895435533733,1904,420,1271,0.8192771084337349,0.5996850393700788,0.6924895435533733
vcf4-2(0.65).txt,0.65,1959,420,1216,0.8234552332912989,0.6170078740157481,0.7054375225063017,1904,475,1216,0.8003362757461118,0.6102564102564103,0.6924895435533733,1904,420,1271,0.8192771084337349,0.5996850393700788,0.6924895435533733
vcf4-2(0.7).txt,0.7,1977,554,1198,0.7811141841169498,0.6226771653543307,0.6929547844374343,1921,610,1198,0.75898854207823,0.6159025328630972,0.6799999999999999,1921,554,1254,0.7761616161616162,0.6050393700787402,0.68
vcf4-2(0.75).txt,0.75,2020,843,1155,0.7055536150890674,0.6362204724409449,0.6690957270619411,1965,898,1155,0.6863429968564443,0.6298076923076923,0.6568611064683268,1965,843,1210,0.6997863247863247,0.6188976377952756,0.656861106468327
vcf4-2(0.8).txt,0.8,2372,888,804,0.7276073619631902,0.7468513853904282,0.7371037911746426,2325,935,804,0.7131901840490797,0.7430488974113135,0.7278134293316638,2325,888,851,0.7236227824463118,0.7320528967254408,0.7278134293316638
vcf4-2(0.85).txt,0.85,2932,1532,244,0.6568100358422939,0.9231738035264484,0.7675392670157067,2888,1576,244,0.6469534050179212,0.9220945083014048,0.7604002106371776,2888,1532,288,0.653393665158371,0.9093198992443325,0.7604002106371774
vcf4-2(0.9).txt,0.9,3116,3027,60,0.5072440175809865,0.9811083123425692,0.6687412812533533,3076,3067,60,0.5007325411036953,0.9808673469387755,0.6630024787153789,3076,3027,100,0.5040144191381288,0.9685138539042821,0.6630024787153789
vcf4-2(0.95).txt,0.95,3165,6769,12,0.3186027783370244,0.996222851746931,0.48280070170086187,3123,6811,12,0.3143748741695188,0.9961722488038277,0.477924860356569,3123,6769,54,0.3157096643752527,0.9830028328611898,0.477924860356569
